Source Target
3920 3655
3920 3967
3920 3964
3920 3437
2068 2328
2068 2458
2068 2592
2068 2434
2068 2198
2068 2053
2068 2203
2068 2054
2068 2224
2068 1718
2068 2471
2068 2384
2068 1465
2068 2072
2068 2039
2068 2038
2068 2289
2068 2463
2068 2643
2068 2347
2068 2588
2068 1954
2068 1912
2068 2330
2068 2042
2068 2127
2068 2491
2068 2081
2068 2026
2068 2169
2068 2512
2068 2533
2068 2254
2068 1577
2068 2149
2172 2615
2172 2136
2172 2590
2172 2591
2172 2430
2172 2631
2172 2299
2172 2655
2172 2654
2172 2352
2172 1943
2172 2033
2172 2309
2172 2347
2172 2521
2172 1983
2172 2206
2172 2229
2172 2561
2172 2300
2172 1966
2172 2124
2172 2348
2172 2139
2172 2037
2172 2150
2172 2030
2172 2507
2172 2550
2172 2504
2172 2266
2172 2408
2172 2428
2172 2275
2172 2607
2172 2460
2172 2625
2172 2386
2172 1993
2172 2469
2172 2073
2172 2484
2172 2123
2172 2131
2172 1953
2172 2184
2172 1912
2172 2340
2172 2290
2172 2326
2172 2046
2172 2088
2172 2261
2172 2043
2172 2556
2172 2579
2172 2218
2172 2179
2172 2573
2172 2069
2172 2109
2172 2395
2172 2142
2172 2391
2172 2532
2172 2353
2172 2370
2172 2560
2172 2104
3555 3767
3555 3515
3555 3437
1943 2615
1943 2136
1943 2590
1943 2430
1943 2631
1943 2655
1943 2654
1943 2352
1943 2560
1943 2033
1943 2309
1943 2347
1943 2055
1943 1983
1943 2206
1943 2229
1943 2561
1943 2300
1943 1966
1943 2124
1943 2348
1943 2139
1943 2037
1943 2150
1943 2030
1943 2507
1943 2550
1943 2504
1943 2266
1943 2408
1943 2428
1943 2213
1943 2606
1943 2607
1943 2460
1943 2625
1943 2423
1943 1993
1943 2469
1943 2073
1943 2484
1943 2123
1943 2131
1943 1953
1943 2184
1943 2521
1943 1912
1943 2275
1943 2326
1943 2046
1943 2551
1943 2088
1943 2179
1943 2334
1943 2043
1943 2556
1943 2579
1943 2575
1943 2218
1943 2340
1943 2573
1943 2147
1943 2069
1943 2109
1943 2395
1943 2142
1943 2391
1943 2290
1943 2353
1943 2370
1943 2386
1943 2104
3256 2871
3256 2914
3256 3397
3256 3365
3256 3196
3256 1684
3256 2955
3256 2730
819 719
819 709
819 805
819 697
3850 3773
3850 3508
3850 3437
2911 3232
2911 2872
2911 2966
2911 2864
2911 2919
2911 2909
2911 3226
2911 2925
2911 3033
2911 3096
2911 1684
2911 2920
2911 3078
2911 3363
2911 2974
2911 2669
2914 2716
2914 3397
2914 3342
2914 3188
2914 3360
2914 1684
2914 2661
2914 3038
2914 3302
2914 2951
1250 1086
1250 1341
1250 1344
1250 1126
1250 1547
1250 1589
1250 1619
1250 1730
1250 1819
1250 1256
1250 1110
1250 1659
1250 1833
1250 1399
1250 1402
1250 916
1250 1750
1250 1367
1250 1198
1250 1352
1250 1238
1250 1420
1250 1795
1250 1491
1250 1800
1250 107
